,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
11823,14881.0,2013,8679,130488,10.76,450,416,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11825,14882.0,2013,5574,97838,12.29,285,371,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12008,16158.0,2004,60253,395259,6.16,2742,838,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12015,16286.0,2004,52394,507240,8.32,2887,1268,204,267428.0,2004.0,21309.0,0.094,73.561,99.0,88.0,93.0,,2.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,18198.829834,0.825384603097,24.8769229009,3915785.90418,1.0
12018,16296.0,2004,65658,1271733,8.32,3618,1589,256,267446.0,2004.0,21483.0,0.109,84.223,98.0,85.0,92.0,,9.0,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,5252.12011719,1.36750001833,25.4324998856,1511062.95897,0.0
12034,16158.0,2005,59174,390495,6.1,2627,840,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12040,16286.0,2005,53420,520380,8.29,2906,1303,219,282879.0,2005.0,21309.0,0.165,93.584,97.0,83.0,86.0,3.0,2.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,19506.5098877,0.742857130511,24.9199998038,4271013.92576,1.0
12043,16296.0,2005,66944,1302794,8.29,3642,1633,274,282897.0,2005.0,21483.0,0.124,86.7,87.0,85.0,90.0,,108.0,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,6580.39013672,1.20400001705,25.5059997559,1915423.20147,0.0
12050,16043.0,2006,107663,734654,6.13,4651,1658,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12059,16158.0,2006,57588,380129,6.19,2626,812,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
